date,text,username,cleaned_text,sentiment,topic,summary
2026-05-04 18:32:37+00:00,"Бүгін универде пара норм өтті, бірақ тапсырма көп екен вообще",693512505,бүгін универде пара норм өтті бірақ тапсырма көп екен вообще,Neutral,Белгісіз,—
2026-05-04 18:51:00+00:00,Чо там кім сабаккка барады ертен?,693512505,чо там кім сабаккка барады ертен,Neutral,Белгісіз,—
2026-05-04 18:51:00+00:00,Чо там кім сабаккка барады ертен?,693512505,чо там кім сабаккка барады ертен,Neutral,Белгісіз,—
2026-05-04 18:34:50+00:00,Ертең сабаққа барасың ба или пропустим па,693512505,ертең сабаққа барасың ба или пропустим па,Neutral,Белгісіз,—
2026-05-04 18:32:37+00:00,"Бүгін универде пара норм өтті, бірақ тапсырма көп екен вообще",693512505,бүгін универде пара норм өтті бірақ тапсырма көп екен вообще,Neutral,Белгісіз,—
2026-05-04 19:19:52+00:00,Мен бүгін келе алалмаймын ауырып жатырм.,5516814865,мен бүгін келе алалмаймын ауырып жатырм,Negative,Денсаулық,—
2026-05-05 09:08:55+00:00,"Бүгін практикада жаңа тема өттік, түсіну қиындау болды",693512505,бүгін практикада жаңа тема өттік түсіну қиындау болды,Neutral,Белгісіз,—
2026-05-05 10:05:03+00:00,"Кімде конспект бар, скинь пожалуйста маған да",693512505,кімде конспект бар скинь пожалуйста маған да,Neutral,Белгісіз,—
2026-05-05 10:16:49+00:00,"Сессия жақындап қалды, дайындалу керек срочно уже.",693512505,сессия жақындап қалды дайындалу керек срочно уже,Neutral,Белгісіз,—
2026-05-05 10:20:50+00:00,"Біздің группа проектті қашан сдаем, дедлайн нақты ма?",693512505,біздің группа проектті қашан сдаем дедлайн нақты ма,Neutral,Белгісіз,—
2026-05-10 08:31:16+00:00,Магистратура кім тапсырады,693512505,магистратура кім тапсырады,Neutral,Магистратура,—
2026-05-10 08:28:06+00:00,Дипломға подготовка  қалай ?,693512505,дипломға подготовка  қалай,Neutral,Дайындық,—
2026-06-03 09:47:40+00:00,"Менің интернетім өшіп қалып, онлайн сабаққа кіре алмай қалдым вообще 😭",693512505,менің интернетім өшіп қалып онлайн сабаққа кіре алмай қалдым вообще,Negative,Сабақ,—
2026-06-03 09:51:20+00:00,"Мен бүгін универге келдім, оказывается сабақ отмена болып кетіпті 😐",693512505,мен бүгін универге келдім оказывается сабақ отмена болып кетіпті,Neutral,Сабақ,—
2026-06-03 09:51:07+00:00,"Бүгін преподтың настроениесі жақсы екен, тез жіберді 😄",693512505,бүгін преподтың настроениесі жақсы екен тез жіберді,Neutral,Белгісіз,—
